Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1984-85,21.0,CHI,NBA,48:00,20.0,33.0,2.0,5.0,20.0,32.0,14.0,17.0,7.0,12.0,15.0,16.0,6.0,5.0,7.0,6.0,49.0,41.4
1985-86,22.0,CHI,NBA,41:00,13.0,36.0,2.0,3.0,13.0,35.0,15.0,16.0,4.0,5.0,7.0,7.0,7.0,3.0,7.0,5.0,33.0,24.6
1986-87,23.0,CHI,NBA,50:00,22.0,43.0,2.0,5.0,22.0,42.0,26.0,27.0,8.0,9.0,12.0,10.0,8.0,6.0,7.0,5.0,61.0,51.2
1987-88,24.0,CHI,NBA,50:00,21.0,38.0,1.0,3.0,21.0,36.0,17.0,20.0,6.0,10.0,13.0,13.0,10.0,5.0,7.0,6.0,59.0,54.7
1988-89,25.0,CHI,NBA,49:00,24.0,33.0,3.0,5.0,24.0,31.0,18.0,22.0,6.0,13.0,14.0,17.0,9.0,4.0,8.0,6.0,53.0,47.9
1989-90,26.0,CHI,NBA,50:00,23.0,43.0,7.0,12.0,21.0,41.0,21.0,23.0,8.0,11.0,18.0,13.0,8.0,3.0,8.0,5.0,69.0,64.6
1990-91,27.0,CHI,NBA,51:00,18.0,36.0,3.0,5.0,17.0,33.0,17.0,19.0,8.0,13.0,15.0,12.0,8.0,3.0,7.0,6.0,46.0,42.3
1991-92,28.0,CHI,NBA,56:00,21.0,39.0,3.0,5.0,21.0,38.0,14.0,15.0,6.0,13.0,15.0,14.0,6.0,3.0,7.0,6.0,51.0,43.1
1992-93,29.0,CHI,NBA,52:00,27.0,49.0,6.0,8.0,26.0,44.0,21.0,24.0,5.0,11.0,13.0,12.0,9.0,4.0,7.0,5.0,64.0,48.6
1994-95,31.0,CHI,NBA,46:00,21.0,37.0,4.0,4.0,18.0,33.0,13.0,16.0,4.0,11.0,11.0,9.0,5.0,2.0,4.0,5.0,55.0,37.5
1995-96,32.0,CHI,NBA,49:00,21.0,32.0,5.0,8.0,19.0,31.0,14.0,19.0,6.0,14.0,16.0,8.0,6.0,3.0,8.0,5.0,53.0,47.7
1996-97,33.0,CHI,NBA,50:25,19.0,35.0,5.0,8.0,17.0,31.0,19.0,20.0,8.0,11.0,18.0,12.0,5.0,4.0,8.0,5.0,51.0,40.8
1997-98,34.0,CHI,NBA,52:04,18.0,39.0,3.0,6.0,18.0,36.0,22.0,24.0,7.0,13.0,17.0,9.0,5.0,3.0,7.0,5.0,49.0,38.0
2001-02,38.0,WAS,NBA,44:41,21.0,38.0,1.0,4.0,21.0,36.0,12.0,16.0,4.0,12.0,14.0,11.0,5.0,2.0,9.0,4.0,51.0,35.9
2002-03,39.0,WAS,NBA,52:48,18.0,33.0,3.0,4.0,18.0,33.0,13.0,16.0,5.0,13.0,14.0,12.0,6.0,3.0,9.0,6.0,45.0,36.8
Career,,,,56:00,27.0,49.0,7.0,12.0,26.0,44.0,26.0,27.0,8.0,14.0,18.0,17.0,10.0,6.0,9.0,6.0,69.0,64.6
,,,,,,,,,,,,,,,,,,,,,,
13 Seasons,,CHI,NBA,56:00,27.0,49.0,7.0,12.0,26.0,44.0,26.0,27.0,8.0,14.0,18.0,17.0,10.0,6.0,8.0,6.0,69.0,64.6
2 Seasons,,WAS,NBA,52:48,21.0,38.0,3.0,4.0,21.0,36.0,13.0,16.0,5.0,13.0,14.0,12.0,6.0,3.0,9.0,6.0,51.0,36.8
